movie_title,original_genres,predicted_genres
Shanghai Noon,"['Adventure', 'Action', 'Comedy', 'Western']",
Executive Decision,"['Action', 'Adventure', 'Drama', 'Thriller']",Action Thriller
Mr. Popper's Penguins,"['Comedy', 'Family']",Comedy
The Forbidden Kingdom,"['Action', 'Adventure', 'Fantasy']",Action Adventure
Free Birds,"['Animation', 'Comedy', 'Family']",Comedy
Alien³,"['Science Fiction', 'Action', 'Horror']",Action Science Fiction
Evita,"['History', 'Drama', 'Music']",Drama
Ronin,"['Action', 'Thriller', 'Crime', 'Adventure']",Action Thriller
The Ghost and the Darkness,['Adventure'],Drama
Paddington,"['Family', 'Comedy']",
The Watch,['Comedy'],Comedy
The Hunted,"['Drama', 'Action', 'Thriller', 'Crime']",Action Drama Thriller
Instinct,"['Drama', 'Mystery', 'Thriller']",Drama Thriller
Stuck on You,['Comedy'],Comedy
Semi-Pro,['Comedy'],Comedy
The Pirates! In an Adventure with Scientists!,"['Animation', 'Adventure', 'Family', 'Comedy']",Adventure
Changeling,"['Crime', 'Drama', 'Mystery']",Drama
Chain Reaction,"['Action', 'Drama', 'Science Fiction', 'Thriller']",Thriller
The Fan,"['Drama', 'Mystery', 'Thriller']",Drama
The Phantom of the Opera,"['Thriller', 'Drama', 'Romance']",Drama Romance
Elizabeth: The Golden Age,"['Drama', 'History', 'Romance']",Drama
Æon Flux,"['Action', 'Science Fiction']",Action Science Fiction
Gods and Generals,"['Drama', 'History', 'War']",Drama
Turbulence,"['Action', 'Thriller', 'Crime']",
Imagine That,['Comedy'],
Muppets Most Wanted,"['Comedy', 'Adventure', 'Crime', 'Family']",
Thunderbirds,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",Action Adventure
Burlesque,"['Drama', 'Romance']",Drama
A Very Long Engagement,['Drama'],Drama
Lolita,"['Drama', 'Romance']",Drama Romance
D-Tox,"['Action', 'Thriller']",Thriller
Blade II,"['Fantasy', 'Horror', 'Action', 'Thriller']",Action Horror Thriller
Seven Pounds,['Drama'],
Bullet to the Head,"['Action', 'Crime', 'Thriller']",Action Thriller
The Godfather: Part III,"['Crime', 'Drama', 'Thriller']",Drama
Elizabethtown,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance
"You, Me and Dupree","['Comedy', 'Romance']",Comedy Romance
Superman II,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Action Adventure Science Fiction
Gigli,['Drama'],Drama
All the King's Men,"['Drama', 'Thriller']",Drama
Shaft,"['Action', 'Adventure', 'Crime', 'Thriller']",Crime Drama Thriller
Anastasia,"['Animation', 'Family']",
Moulin Rouge!,"['Drama', 'Music', 'Romance']",Drama Romance
Domestic Disturbance,"['Mystery', 'Thriller', 'Crime']",Drama
Black Mass,"['Crime', 'Drama']",Crime Drama
Flags of Our Fathers,"['War', 'Drama', 'History']",
Law Abiding Citizen,"['Drama', 'Crime', 'Thriller']",Drama
Grindhouse,"['Thriller', 'Action', 'Horror']",
Beloved,"['Drama', 'Thriller']",Drama
Lucky You,"['Drama', 'Romance']",Drama Romance
Catch Me If You Can,"['Drama', 'Crime']",Crime Drama
Zero Dark Thirty,"['Thriller', 'Drama', 'History']",Action Drama Thriller
The Break-Up,"['Romance', 'Comedy']",Comedy Romance
Mamma Mia!,"['Comedy', 'Romance']",Comedy Romance
Valentine's Day,"['Comedy', 'Romance']",Comedy Romance
The Dukes of Hazzard,"['Action', 'Adventure', 'Comedy']",
The Thin Red Line,"['Drama', 'History', 'War']",Drama History War
The Change-Up,['Comedy'],Comedy
Man on the Moon,"['Comedy', 'Drama', 'Romance']",Comedy Drama
Casino,"['Drama', 'Crime']",Crime Drama
From Paris with Love,"['Action', 'Crime', 'Thriller']",Action
Bulletproof Monk,"['Action', 'Comedy', 'Fantasy']",Action
"Me, Myself & Irene",['Comedy'],Comedy
Barnyard,"['Animation', 'Comedy', 'Family']",Comedy
Deck the Halls,"['Comedy', 'Family']",Comedy
The Twilight Saga: New Moon,"['Adventure', 'Fantasy', 'Drama', 'Romance']",Drama
Shrek,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Comedy Family
The Adjustment Bureau,"['Science Fiction', 'Thriller', 'Romance']",
Robin Hood: Prince of Thieves,['Adventure'],
Jerry Maguire,"['Comedy', 'Drama', 'Romance']",Comedy Drama
Ted,"['Comedy', 'Fantasy']",Comedy Drama
As Good as It Gets,"['Comedy', 'Romance']",Comedy
Patch Adams,"['Comedy', 'Drama']",Comedy Drama
Anchorman 2: The Legend Continues,['Comedy'],Comedy
Mr. Deeds,"['Comedy', 'Romance']",Drama
Super 8,"['Thriller', 'Science Fiction', 'Mystery']",
Erin Brockovich,['Drama'],Drama
How to Lose a Guy in 10 Days,"['Comedy', 'Romance']",Comedy Romance
22 Jump Street,"['Crime', 'Comedy', 'Action']",Comedy
Interview with the Vampire,"['Horror', 'Romance']",Drama Romance
Yes Man,['Comedy'],Comedy
Central Intelligence,"['Action', 'Comedy']",Comedy
Stepmom,"['Drama', 'Romance']",
Daddy's Home,['Comedy'],Comedy
Into the Woods,"['Fantasy', 'Comedy', 'Music']",Comedy Family Fantasy
Inside Man,"['Crime', 'Drama', 'Thriller']",Crime Drama Thriller
Payback,"['Drama', 'Action', 'Thriller', 'Crime']",Crime Drama
Congo,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",Thriller
We Bought a Zoo,"['Drama', 'Comedy', 'Family']",Drama
Knowing,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",Drama
Failure to Launch,['Comedy'],Comedy
The Ring Two,"['Drama', 'Horror', 'Thriller']",Horror
"Crazy, Stupid, Love.","['Comedy', 'Drama', 'Romance']",Comedy Drama
Garfield,"['Animation', 'Comedy', 'Family']",Comedy
Christmas with the Kranks,"['Comedy', 'Family']",Comedy
Moneyball,['Drama'],Drama
Outbreak,"['Action', 'Drama', 'Science Fiction', 'Thriller']",Drama
Non-Stop,"['Action', 'Thriller', 'Mystery']",Thriller
Race to Witch Mountain,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'Thriller', 'Action']",
V for Vendetta,"['Action', 'Thriller', 'Fantasy']",Thriller
Shanghai Knights,"['Action', 'Adventure', 'Comedy', 'Western']",
Curious George,"['Adventure', 'Animation', 'Comedy', 'Family']",Comedy Family
Herbie Fully Loaded,"['Comedy', 'Family', 'Adventure', 'Fantasy', 'Romance']",
Don't Say a Word,['Thriller'],Thriller
Hansel & Gretel: Witch Hunters,"['Fantasy', 'Horror', 'Action']",Fantasy
Unfaithful,"['Thriller', 'Drama']",Drama
I Am Number Four,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",Action Adventure
Syriana,"['Drama', 'Thriller']",Drama Thriller
13 Hours: The Secret Soldiers of Benghazi,"['Action', 'Drama', 'History', 'Thriller', 'War']",Drama
The Book of Life,"['Romance', 'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",Romance
Firewall,['Thriller'],
Absolute Power,"['Crime', 'Drama', 'Thriller']",Action Thriller
G.I. Jane,"['Action', 'Drama']",Action Drama
The Game,"['Drama', 'Thriller', 'Mystery']",Drama
Silent Hill,"['Horror', 'Mystery']",Horror
The Replacements,['Comedy'],Comedy
American Reunion,['Comedy'],Comedy
The Negotiator,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",Action Crime Drama Thriller
Into the Storm,"['Action', 'Thriller']",
Beverly Hills Cop III,"['Action', 'Comedy', 'Crime']",Action Comedy Crime
Gremlins 2: The New Batch,"['Comedy', 'Horror', 'Fantasy']",Comedy
The Judge,['Drama'],Drama
The Peacemaker,"['Action', 'Thriller']",Action Thriller
Resident Evil: Apocalypse,"['Horror', 'Action', 'Science Fiction']",Action Horror Science Fiction
Bridget Jones: The Edge of Reason,"['Comedy', 'Romance']",Comedy
Out of Time,"['Thriller', 'Crime', 'Drama']",Crime Drama Thriller
On Deadly Ground,"['Action', 'Thriller']",
The Adventures of Sharkboy and Lavagirl,"['Adventure', 'Family', 'Science Fiction']",
The Beach,"['Drama', 'Adventure', 'Romance', 'Thriller']",Drama
Raising Helen,"['Drama', 'Comedy', 'Romance']",Comedy Drama Romance
Ninja Assassin,"['Action', 'Crime', 'Thriller']",Action Thriller
For Love of the Game,"['Drama', 'Romance']",Drama
Striptease,"['Drama', 'Thriller', 'Crime']",Drama Thriller
Marmaduke,"['Family', 'Comedy']",Comedy
Hereafter,"['Drama', 'Fantasy']",Drama
Murder by Numbers,"['Crime', 'Drama', 'Thriller']",Crime Thriller
Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']",Action Crime Drama Thriller
Hannibal Rising,"['Crime', 'Drama', 'Thriller']",Drama Thriller
The Story of Us,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance
The Host,"['Action', 'Adventure', 'Romance', 'Science Fiction', 'Thriller']",Action Adventure Science Fiction Thriller
Basic,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",Action Drama Thriller
Blood Work,"['Crime', 'Drama', 'Mystery', 'Thriller']",Crime Thriller
The International,"['Drama', 'Thriller', 'Crime']",Crime Thriller
Escape from L.A.,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Action
The Iron Giant,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",
The Life Aquatic with Steve Zissou,"['Adventure', 'Comedy', 'Drama']",Comedy Drama
Free State of Jones,"['War', 'Action', 'Drama', 'History', 'Thriller']",Drama
The Life of David Gale,"['Drama', 'Thriller', 'Crime']",Drama
Man of the House,"['Comedy', 'Action']",
Run All Night,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Crime Drama Thriller
Eastern Promises,"['Thriller', 'Crime', 'Mystery']",Drama Thriller
Into the Blue,"['Action', 'Thriller', 'Adventure', 'Crime']",Action
The Messenger: The Story of Joan of Arc,"['Adventure', 'Drama', 'Action', 'History', 'War']",Drama
Your Highness,['Comedy'],Adventure
Dream House,"['Drama', 'Thriller', 'Mystery']",Drama Thriller
Mad City,"['Action', 'Drama', 'Thriller']",Drama
Baby's Day Out,"['Action', 'Adventure', 'Comedy', 'Family']",Comedy
The Scarlet Letter,"['Drama', 'History', 'Romance']",Drama Romance
Fair Game,"['Drama', 'Thriller']",Drama Thriller
Domino,"['Action', 'Crime']",
Jade,"['Action', 'Thriller', 'Mystery', 'Romance']",Drama Thriller
Gamer,"['Action', 'Thriller', 'Science Fiction']",Science Fiction
Beautiful Creatures,"['Fantasy', 'Drama', 'Romance']",Drama
Death to Smoochy,"['Comedy', 'Crime', 'Drama', 'Thriller']",Comedy
Zoolander 2,['Comedy'],Comedy
The Big Bounce,"['Comedy', 'Crime']",
What Planet Are You From?,"['Comedy', 'Drama', 'Romance', 'Science Fiction']",Comedy Science Fiction
Drive Angry,"['Fantasy', 'Thriller', 'Action', 'Crime']",Action Thriller
Street Fighter: The Legend of Chun-Li,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Action
The One,"['Action', 'Science Fiction', 'Thriller']",
The Adventures of Ford Fairlane,"['Action', 'Comedy', 'Thriller', 'Crime', 'Mystery']",Comedy
The Boat That Rocked,"['Drama', 'Comedy']",Comedy Drama
Traffic,"['Thriller', 'Drama', 'Crime']",Crime Drama Thriller
Indiana Jones and the Last Crusade,"['Adventure', 'Action']",Adventure
Anna Karenina,"['Drama', 'Romance']",Drama Romance
Chappie,"['Crime', 'Action', 'Science Fiction']",Action Science Fiction
The Bone Collector,"['Drama', 'Mystery', 'Thriller', 'Crime']",Crime Thriller
Panic Room,"['Crime', 'Drama', 'Thriller']",Thriller
The Tooth Fairy,['Horror'],
Three Kings,"['Action', 'Adventure', 'Comedy']",Action Adventure
Child 44,"['Crime', 'Thriller']",Crime Thriller
Rat Race,"['Adventure', 'Comedy']",
K-PAX,"['Drama', 'Science Fiction']",
Kate & Leopold,"['Comedy', 'Fantasy', 'Romance', 'Science Fiction']",Comedy Romance
Bedazzled,"['Fantasy', 'Comedy', 'Romance']",Comedy
The Cotton Club,"['Music', 'Drama', 'Crime', 'Romance']",Drama
3:10 to Yuma,['Western'],
Taken 3,"['Thriller', 'Action']",Crime Drama Thriller
Out of Sight,"['Romance', 'Comedy', 'Crime']",Comedy
The Cable Guy,"['Comedy', 'Drama', 'Thriller']",Comedy
Earth,['Drama'],Drama
Dick Tracy,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",Action
The Thomas Crown Affair,"['Drama', 'Crime', 'Romance']",Comedy
Riding in Cars with Boys,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance
First Blood,"['Action', 'Adventure', 'Thriller', 'War']",Action Drama
Solaris,"['Drama', 'Science Fiction', 'Adventure', 'Mystery']",Science Fiction
Happily N'Ever After,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",
Mary Reilly,"['Drama', 'Horror', 'Thriller', 'Romance']",Drama Romance
My Best Friend's Wedding,"['Comedy', 'Romance']",Comedy Drama Romance
America's Sweethearts,"['Comedy', 'Romance']",Comedy
Insomnia,"['Crime', 'Mystery', 'Thriller']",Crime Drama Mystery Thriller
Star Trek: First Contact,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",Adventure Science Fiction
Jonah Hex,"['Action', 'Western', 'Drama', 'Fantasy', 'Thriller']",Drama
Courage Under Fire,"['Drama', 'Thriller', 'Mystery', 'War']",Drama
Liar Liar,['Comedy'],Comedy
The Infiltrator,"['Crime', 'Drama', 'Thriller']",Crime Drama
Inchon,"['Drama', 'History', 'War']",Drama
The Flintstones,"['Fantasy', 'Comedy', 'Family']",Comedy
Taken 2,"['Action', 'Crime', 'Thriller']",Action Thriller
Scary Movie 3,['Comedy'],Comedy
Miss Congeniality,"['Comedy', 'Crime', 'Action']",Action Comedy
Journey to the Center of the Earth,"['Action', 'Science Fiction', 'Adventure', 'Comedy', 'Family']",Adventure
The Princess Diaries 2: Royal Engagement,"['Comedy', 'Drama', 'Family', 'Romance']",Comedy Drama Romance
The Pelican Brief,"['Drama', 'Mystery', 'Thriller', 'Crime']",Drama
The Client,"['Drama', 'Thriller', 'Crime', 'Mystery']",Crime Drama
The Bucket List,"['Drama', 'Comedy']",Comedy Drama
Patriot Games,"['Drama', 'Action', 'Thriller', 'Crime']",Action Drama Thriller
Monster-in-Law,"['Romance', 'Comedy']",Comedy Romance
Prisoners,"['Drama', 'Thriller', 'Crime']",Drama
Training Day,"['Action', 'Crime', 'Drama', 'Thriller']",Action Crime Drama Thriller
Galaxy Quest,"['Comedy', 'Family', 'Science Fiction']",Comedy
Scary Movie 2,['Comedy'],Comedy
The Muppets,"['Comedy', 'Family', 'Music']",Comedy
Blade,"['Horror', 'Action']",Action Fantasy Horror
Coach Carter,['Drama'],Drama
Changing Lanes,"['Action', 'Adventure', 'Crime', 'Thriller']",Drama
Anaconda,"['Adventure', 'Horror', 'Thriller']",
Coyote Ugly,['Comedy'],Comedy
Love Actually,"['Comedy', 'Romance', 'Drama']",Comedy Drama Romance
A Bug's Life,"['Adventure', 'Animation', 'Comedy', 'Family']",Comedy
From Hell,"['Horror', 'Mystery', 'Thriller']",Drama
The Specialist,"['Action', 'Thriller']",Action Thriller
Tin Cup,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance
"Yours, Mine and Ours","['Comedy', 'Drama', 'Family']",Comedy Drama
Kicking & Screaming,"['Romance', 'Comedy', 'Family']",Comedy Drama
The Hitchhiker's Guide to the Galaxy,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",Adventure Science Fiction
Fat Albert,"['Comedy', 'Drama', 'Family']",Comedy Drama
Resident Evil: Extinction,"['Horror', 'Action', 'Science Fiction']",Action Horror Science Fiction
Blended,['Comedy'],Comedy
Last Holiday,"['Adventure', 'Comedy', 'Drama']",Comedy Drama
The River Wild,"['Action', 'Adventure', 'Crime', 'Thriller']",Comedy Drama
The Indian in the Cupboard,"['Adventure', 'Family', 'Fantasy']",Comedy
Savages,"['Crime', 'Drama', 'Thriller']",Action Drama
Cellular,"['Action', 'Adventure', 'Crime', 'Thriller']",Thriller
Johnny English,"['Adventure', 'Action', 'Comedy']",Action Comedy
The Ant Bully,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",Comedy
Dune,"['Action', 'Science Fiction', 'Adventure']",Action Adventure Science Fiction
Across the Universe,"['Adventure', 'Drama', 'Music', 'Romance']",Drama Romance
Revolutionary Road,"['Drama', 'Romance']",Drama
16 Blocks,"['Action', 'Adventure', 'Crime', 'Thriller']",Action Crime Thriller
Babylon A.D.,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Action Thriller
The Glimmer Man,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Action Crime Thriller
Multiplicity,"['Comedy', 'Fantasy', 'Science Fiction']",
Aliens in the Attic,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",Comedy Family
The Pledge,"['Crime', 'Drama', 'Mystery', 'Thriller']",Crime Drama Thriller
The Producers,"['Comedy', 'Music']",Comedy
The Phantom,"['Adventure', 'Action']",Action Adventure
All the Pretty Horses,"['Drama', 'Romance', 'Western']",Drama
Nixon,"['History', 'Drama']",Drama
The Ghost Writer,"['Thriller', 'Mystery']",Drama Thriller
Deep Rising,"['Adventure', 'Action', 'Horror', 'Science Fiction']",Action
Miracle at St. Anna,"['Drama', 'War']",Drama History War
Curse of the Golden Flower,"['Action', 'Drama', 'Fantasy']",Action Drama
Bangkok Dangerous,"['Action', 'Crime', 'Thriller']",Action Crime Thriller
Big Trouble,"['Action', 'Comedy', 'Thriller']",Comedy
Love in the Time of Cholera,"['Drama', 'Romance']",Drama Romance
Shadow Conspiracy,"['Action', 'Thriller']",
Johnny English Reborn,"['Crime', 'Adventure', 'Action', 'Comedy', 'Thriller']",Action Thriller
Foodfight!,"['Animation', 'Action', 'Comedy', 'Family']",Comedy
Argo,"['Drama', 'Thriller']",Drama Thriller
The Fugitive,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",Action Thriller
The Bounty Hunter,['Action'],Action
Sleepers,"['Crime', 'Drama', 'Thriller']",Drama
Rambo: First Blood Part II,"['Action', 'Adventure', 'Thriller', 'War']",Action Thriller
The Juror,"['Drama', 'Thriller']",Drama Thriller
Pinocchio,"['Animation', 'Family']",Comedy
Heaven's Gate,"['Action', 'Drama', 'History', 'Western']",Drama
Underworld: Evolution,"['Fantasy', 'Action', 'Science Fiction', 'Thriller']",Action Fantasy Thriller
Victor Frankenstein,"['Drama', 'Science Fiction', 'Thriller']",
Finding Forrester,['Drama'],Drama
28 Days,"['Comedy', 'Drama']",Comedy Drama
Unleashed,"['Action', 'Crime']",
The Sweetest Thing,"['Romance', 'Comedy']",Comedy Romance
The Firm,"['Drama', 'Mystery', 'Thriller']",Drama Thriller
Charlie St. Cloud,['Drama'],Drama
The Mechanic,"['Action', 'Thriller', 'Crime']",Action Thriller
21 Jump Street,"['Action', 'Comedy', 'Crime']",Comedy
Notting Hill,"['Romance', 'Comedy', 'Drama']",Comedy Drama Romance
Chicken Run,"['Animation', 'Comedy', 'Family']",
Along Came Polly,"['Comedy', 'Romance']",Comedy Romance
Boomerang,"['Comedy', 'Romance']",Comedy
The Heat,"['Action', 'Comedy', 'Crime']",Action Comedy Crime
Cleopatra,"['Drama', 'History', 'Romance']",Drama
Here Comes the Boom,['Comedy'],
High Crimes,"['Drama', 'Mystery', 'Thriller', 'Crime']",Drama Thriller
The Mirror Has Two Faces,"['Comedy', 'Drama', 'Romance']",Drama
The Mothman Prophecies,"['Drama', 'Horror', 'Mystery']",Drama
Brüno,['Comedy'],Comedy
Licence to Kill,"['Adventure', 'Action', 'Thriller']",Action Thriller
Red Riding Hood,"['Fantasy', 'Thriller', 'Horror']",
15 Minutes,"['Action', 'Crime', 'Thriller']",Action Crime Thriller
Super Mario Bros.,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Adventure
Lord of War,"['Crime', 'Drama', 'Thriller']",
Hero,"['Drama', 'Adventure', 'Action', 'History']",Drama
One for the Money,"['Action', 'Comedy', 'Crime']",
The Interview,"['Action', 'Comedy']",Comedy
The Warrior's Way,"['Adventure', 'Fantasy', 'Action', 'Western', 'Thriller']",Action
Micmacs,"['Action', 'Comedy', 'Crime']",Comedy
8 Mile,['Drama'],Drama
Why I Did (Not) Eat My Father,"['Adventure', 'Comedy', 'Animation']",Drama
A Knight's Tale,"['Adventure', 'Drama', 'Romance', 'Action']",Drama
The Medallion,"['Thriller', 'Fantasy', 'Action', 'Comedy']",
The Sixth Sense,"['Mystery', 'Thriller', 'Drama']",Drama
Man on a Ledge,"['Action', 'Thriller', 'Crime']",Action Crime Thriller
The Big Year,['Comedy'],Comedy
The Karate Kid,['Drama'],
American Hustle,"['Drama', 'Crime']",Action Crime Thriller
The Proposal,"['Comedy', 'Romance', 'Drama']",Comedy Romance
Double Jeopardy,"['Crime', 'Drama', 'Mystery', 'Thriller']",Crime Drama Thriller
Back to the Future Part II,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",Comedy
Lucy,"['Action', 'Science Fiction']",
Fifty Shades of Grey,"['Drama', 'Romance', 'Thriller']",Drama
Spy Kids 3-D: Game Over,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",Action Adventure
A Time to Kill,"['Crime', 'Drama', 'Thriller']",Drama Thriller
Cheaper by the Dozen,['Comedy'],Comedy
Lone Survivor,"['Action', 'Drama', 'Thriller', 'War']",Action Drama
A League of Their Own,['Comedy'],Drama
The Conjuring 2,['Horror'],
The Social Network,['Drama'],Drama
He's Just Not That Into You,"['Comedy', 'Romance', 'Drama']",Comedy
Scary Movie 4,['Comedy'],
Scream 3,"['Horror', 'Mystery']",
Back to the Future Part III,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",Comedy
Get Hard,['Comedy'],
Dracula,"['Romance', 'Horror']",Horror
Julie & Julia,"['Romance', 'Drama']",Drama
42,['Drama'],Drama
The Talented Mr. Ripley,"['Thriller', 'Crime', 'Drama']",Drama
Dumb and Dumber To,['Comedy'],Comedy
Eight Below,"['Adventure', 'Drama', 'Family']",
The Intern,['Comedy'],Comedy
Ride Along 2,"['Action', 'Comedy']",Drama
The Last of the Mohicans,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",Drama
Ray,"['Drama', 'Music']",Drama
Sin City,"['Action', 'Thriller', 'Crime']",Action
Vantage Point,"['Drama', 'Action', 'Thriller', 'Crime']",Action Drama Thriller
"I Love You, Man",['Comedy'],Comedy
Shallow Hal,"['Comedy', 'Romance']",Comedy Romance
JFK,"['Drama', 'Thriller', 'History']",Drama
Big Momma's House 2,"['Comedy', 'Crime']",Comedy
The Mexican,"['Action', 'Comedy', 'Crime', 'Romance']",
17 Again,['Comedy'],Comedy
The Other Woman,"['Comedy', 'Romance']",
The Final Destination,"['Horror', 'Mystery']",
Bridge of Spies,"['Thriller', 'Drama']",Drama
Behind Enemy Lines,"['Action', 'Drama', 'Thriller', 'War']",Action Drama Thriller
Get Him to the Greek,['Comedy'],Comedy
Shall We Dance?,"['Drama', 'Romance', 'Comedy']",Comedy Drama
Small Soldiers,"['Comedy', 'Adventure', 'Fantasy', 'Science Fiction', 'Action']",Comedy
Spawn,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']",Action
The Count of Monte Cristo,"['Action', 'Adventure', 'Drama', 'Thriller']",Drama
The Lincoln Lawyer,"['Crime', 'Drama', 'Thriller']",Drama Thriller
Unknown,"['Action', 'Mystery', 'Thriller']",Thriller
The Prestige,"['Drama', 'Mystery', 'Thriller']",Drama
Horrible Bosses 2,['Comedy'],
Escape from Planet Earth,"['Animation', 'Comedy', 'Adventure', 'Family', 'Science Fiction']",Adventure Science Fiction
Apocalypto,"['Action', 'Adventure', 'Drama', 'Thriller']",Drama
The Living Daylights,"['Action', 'Adventure', 'Thriller']",Action Adventure Thriller
Predators,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",Action Adventure Science Fiction Thriller
Legal Eagles,"['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",Drama Thriller
Secret Window,"['Thriller', 'Mystery']",Drama Thriller
The Lake House,"['Romance', 'Drama', 'Mystery']",
The Skeleton Key,"['Drama', 'Horror', 'Mystery', 'Thriller']",Drama Thriller
The Odd Life of Timothy Green,"['Fantasy', 'Drama', 'Comedy', 'Family']",
Made of Honor,"['Comedy', 'Romance']",Comedy Romance
Jersey Boys,"['Music', 'Drama']",Drama
The Rainmaker,"['Drama', 'Crime', 'Thriller']",Drama
Gothika,"['Horror', 'Thriller']",Drama Thriller
Amistad,"['Drama', 'History', 'Mystery']",Drama
Medicine Man,['Adventure'],Drama
Aliens vs Predator: Requiem,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']",Science Fiction
Ri¢hie Ri¢h,"['Comedy', 'Family']",Comedy
Autumn in New York,"['Drama', 'Romance']",Drama Romance
Music and Lyrics,"['Comedy', 'Music', 'Romance']",Comedy Romance
Paul,"['Adventure', 'Comedy', 'Science Fiction']",Science Fiction
The Guilt Trip,['Comedy'],Comedy
Scream 4,"['Horror', 'Mystery']",
8MM,"['Thriller', 'Crime', 'Mystery']",Drama Thriller
The Doors,"['Drama', 'Music']",Drama Music
Sex Tape,['Comedy'],Comedy
Hanging Up,"['Comedy', 'Drama']",Drama
Final Destination 5,"['Horror', 'Mystery']",Horror
Mickey Blue Eyes,"['Comedy', 'Crime', 'Romance']",Comedy
Pay It Forward,"['Drama', 'Romance']",Comedy
Fever Pitch,"['Comedy', 'Drama', 'Romance']",Comedy Drama
Drillbit Taylor,['Comedy'],Comedy
A Million Ways to Die in the West,"['Comedy', 'Western']",
The Shadow,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",Action Adventure
Extremely Loud & Incredibly Close,['Drama'],Drama
Morning Glory,"['Comedy', 'Drama', 'Romance']",Comedy Drama
Get Rich or Die Tryin',['Drama'],Drama
The Art of War,"['Crime', 'Action', 'Adventure']",Action
Rent,"['Drama', 'Romance']",Drama
Bless the Child,"['Drama', 'Horror', 'Thriller', 'Crime']",Drama
The Out-of-Towners,['Comedy'],Comedy
The Island of Dr. Moreau,"['Fantasy', 'Horror', 'Science Fiction']",
The Musketeer,"['Action', 'Adventure', 'Drama']",Drama
The Other Boleyn Girl,['Drama'],Drama
Sweet November,"['Drama', 'Romance']",Drama Romance
The Reaping,['Horror'],Drama
Mean Streets,"['Drama', 'Crime']",Drama
Renaissance Man,"['Comedy', 'War']",Comedy
Colombiana,"['Action', 'Thriller', 'Crime', 'Drama']",Action Crime Thriller
Quest for Camelot,"['Fantasy', 'Animation', 'Drama', 'Romance', 'Family']",
City By The Sea,"['Crime', 'Drama', 'Mystery']",Crime Drama
At First Sight,"['Drama', 'Romance']",Drama
Torque,['Action'],Action Crime
City Hall,"['Drama', 'Thriller']",Crime Drama Thriller
Showgirls,['Drama'],Drama
Marie Antoinette,"['Drama', 'History']",Drama
Kiss of Death,"['Action', 'Crime', 'Drama', 'Thriller']",Comedy Crime Drama
Get Carter,"['Action', 'Drama', 'Thriller', 'Crime']",Thriller
The Impossible,"['Thriller', 'Drama']",Drama
Ishtar,"['Action', 'Adventure', 'Comedy']",
Fantastic Mr. Fox,"['Adventure', 'Animation', 'Comedy', 'Family']",
Life or Something Like It,"['Comedy', 'Drama', 'Romance']",Drama
Memoirs of an Invisible Man,"['Comedy', 'Fantasy', 'Science Fiction']",
Amélie,"['Comedy', 'Romance']",Drama Romance
New York Minute,['Comedy'],Comedy
Alfie,['Comedy'],Comedy Drama Romance
Big Miracle,"['Adventure', 'Drama', 'Romance']",
The Deep End of the Ocean,"['Drama', 'Mystery']",Drama
